Order ID,Order Date,Customer ID,Customer Name,Region,State,Category,Product Name,Quantity,Unit Price,Sales,Profit,Payment Method,Order Status,Salesperson
ORD00001,01-03-2025,CUST2074,Victoria Bryant,North,Karnataka,Fashion,Shirt,5,17751,88755,23144.22,Cash on Delivery,Returned,Raymond
ORD00002,24-01-2025,CUST1788,Larry Estrada,North,Delhi,Fashion,Jacket,3,5357,16071,3249.02,Net Banking,Cancelled,Robert
ORD00003,19-06-2025,CUST1404,Cristina Franco,North,Karnataka,Beauty,Makeup,5,11664,58320,15344.11,Net Banking,Shipped,Karen
ORD00004,03-05-2025,CUST0366,Brittany Nguyen,East,Maharashtra,Home & Kitchen,Cookware,1,48264,48264,12176.78,Debit Card,Returned,Willie
ORD00005,22-12-2025,CUST2168,Laurie Norman,North,Rajasthan,Beauty,Hair Dryer,2,48305,96610,27706.44,UPI,Returned,James
ORD00006,24-03-2026,CUST1287,Michael White,East,Rajasthan,Electronics,Headphones,5,5164,25820,7231.21,Credit Card,Returned,Joseph
ORD00007,28-03-2025,CUST2941,Elaine Morris,East,Maharashtra,Electronics,Smart Watch,2,25549,51098,15007.12,Cash on Delivery,Delivered,Brandon
ORD00008,14-05-2026,CUST1968,Julia Harper,South,Rajasthan,Fashion,Jeans,2,7076,14152,3669.06,Net Banking,Shipped,Bryan
ORD00009,31-08-2025,CUST1389,Richard Moss,North,Maharashtra,Beauty,Makeup,5,5013,25065,5972.49,UPI,Delivered,Sara
ORD00010,10-11-2025,CUST1200,Diana Sanders,North,Karnataka,Beauty,Makeup,5,35964,179820,14970.44,Debit Card,Shipped,Nathan
ORD00011,06-04-2025,CUST1702,Mr. Travis Allen,West,Tamil Nadu,Fashion,Jacket,4,43664,174656,28389.67,UPI,Cancelled,Jeffrey
ORD00012,26-05-2025,CUST0369,Amber Jimenez,West,Maharashtra,Home & Kitchen,Cookware,4,28639,114556,23198.4,Net Banking,Cancelled,Miguel
ORD00013,09-01-2025,CUST2172,Donald Jones,West,Tamil Nadu,Fashion,Jeans,2,25148,50296,3926.06,Cash on Delivery,Cancelled,Jeremy
ORD00014,29-05-2026,CUST1927,Edwin Juarez,East,Rajasthan,Electronics,Smart Watch,2,9978,19956,1803.57,UPI,Returned,Samuel
ORD00015,07-10-2025,CUST2999,John Marks,North,Gujarat,Electronics,Headphones,4,21859,87436,24167.46,Credit Card,Shipped,Tiffany
ORD00016,04-12-2025,CUST2494,Tara Herrera,West,Karnataka,Fashion,Shoes,4,28618,114472,18000.01,Net Banking,Delivered,Susan
ORD00017,18-06-2025,CUST1741,Philip Benjamin,East,Karnataka,Beauty,Makeup,3,21473,64419,14917.79,Net Banking,Shipped,Gregory
ORD00018,08-01-2025,CUST2976,Kevin Perry,North,Gujarat,Fashion,Shirt,5,36193,180965,48509.65,Cash on Delivery,Returned,Russell
ORD00019,11-03-2026,CUST2344,Courtney Johnson,South,Gujarat,Home & Kitchen,Cookware,1,15565,15565,2537.39,Debit Card,Returned,Wendy
ORD00020,16-01-2026,CUST2926,Jennifer Adams,North,Delhi,Electronics,Mobile,2,14108,28216,4254.59,Cash on Delivery,Returned,Aaron
ORD00021,15-12-2025,CUST0200,Thomas Bowers,North,Gujarat,Electronics,Smart Watch,5,43160,215800,18877.99,Credit Card,Delivered,Brandon
ORD00022,28-02-2026,CUST0023,Shawn Stevenson,South,Tamil Nadu,Home & Kitchen,Cookware,4,7734,30936,3532.03,Net Banking,Shipped,Christopher
ORD00023,02-04-2026,CUST2131,Kelly Romero,South,Gujarat,Home & Kitchen,Mixer,3,1807,5421,802.35,Debit Card,Delivered,Brian
ORD00024,06-05-2026,CUST2956,Cynthia Payne,West,Delhi,Electronics,Mobile,2,13073,26146,7377.6,UPI,Shipped,Brittany
ORD00025,12-02-2026,CUST0984,Alfred Weaver,East,Maharashtra,Home & Kitchen,Chair,3,12023,36069,7104.11,Net Banking,Returned,Cristian
ORD00026,09-07-2025,CUST2911,Anne Brown,East,Maharashtra,Home & Kitchen,Cookware,2,2247,4494,1046.31,Net Banking,Shipped,Valerie
ORD00027,25-08-2025,CUST2501,Monica Taylor,East,Tamil Nadu,Electronics,Headphones,4,29927,119708,12562.22,UPI,Delivered,Clarence
ORD00028,04-05-2026,CUST2293,Joseph Hill,West,Karnataka,Home & Kitchen,Table,2,31584,63168,5201.02,Debit Card,Delivered,Cody
ORD00029,26-09-2025,CUST1628,Jeremy Nelson,North,Karnataka,Beauty,Makeup,3,29438,88314,21374.52,Cash on Delivery,Shipped,Angela
ORD00030,04-09-2025,CUST2369,Vanessa Barnes,South,Gujarat,Beauty,Skincare,4,15487,61948,11480.92,UPI,Cancelled,Rachel
ORD00031,22-04-2025,CUST2082,Kenneth Martinez,North,Maharashtra,Fashion,Jeans,4,41999,167996,30926.34,Credit Card,Delivered,Brian
ORD00032,26-03-2025,CUST2376,Heidi Gonzalez,North,Delhi,Home & Kitchen,Mixer,4,24390,97560,10775.14,Credit Card,Returned,Kenneth
ORD00033,10-12-2025,CUST0459,Grant Rios,West,Gujarat,Electronics,Laptop,5,26791,133955,35100.56,Cash on Delivery,Returned,Melissa
ORD00034,14-10-2025,CUST0734,Christina Newman,West,Gujarat,Home & Kitchen,Cookware,3,11540,34620,6924.81,Debit Card,Delivered,Victoria
ORD00035,02-02-2025,CUST2001,Christopher Porter,West,Rajasthan,Fashion,Shoes,3,19375,58125,7651.76,Debit Card,Delivered,Michele
ORD00036,14-10-2025,CUST1386,Sarah Holmes,West,Maharashtra,Fashion,Jeans,3,7565,22695,6339.8,Cash on Delivery,Cancelled,Timothy
ORD00037,23-08-2025,CUST0016,Brandon Glover,East,Tamil Nadu,Beauty,Hair Dryer,1,7983,7983,1714.05,Debit Card,Returned,Gregory
ORD00038,06-06-2025,CUST1896,Judy Green DDS,North,Karnataka,Fashion,Jeans,2,30597,61194,4155.55,Cash on Delivery,Cancelled,Alexis
ORD00039,27-11-2025,CUST1921,Sara Rodgers,South,Rajasthan,Home & Kitchen,Chair,2,21464,42928,9929.83,Cash on Delivery,Delivered,Joseph
ORD00040,28-10-2025,CUST2641,Christopher Allen,South,Rajasthan,Electronics,Headphones,1,19037,19037,1827.85,UPI,Returned,Kirk
ORD00041,17-11-2025,CUST0323,Edward Gardner,North,Delhi,Electronics,Laptop,1,15598,15598,3005.77,Cash on Delivery,Cancelled,Shawn
ORD00042,14-04-2025,CUST0911,Justin Thomas,West,Karnataka,Beauty,Perfume,4,19960,79840,14036.63,Net Banking,Cancelled,Melissa
ORD00043,17-01-2025,CUST0096,Andrew Bruce,South,Gujarat,Fashion,Shirt,4,39255,157020,31248.59,Debit Card,Cancelled,Makayla
ORD00044,26-01-2025,CUST1038,John Mccarthy,East,Maharashtra,Electronics,Headphones,2,34635,69270,13891.39,Net Banking,Returned,Vanessa
ORD00045,13-01-2025,CUST1046,Barbara Gilbert,West,Rajasthan,Fashion,Shoes,3,47634,142902,21949.9,UPI,Cancelled,Bailey
ORD00046,04-07-2025,CUST0174,Samantha Johnson,North,Tamil Nadu,Home & Kitchen,Chair,4,26204,104816,18802.99,Net Banking,Cancelled,Michael
ORD00047,06-06-2026,CUST0763,Jill Cabrera,West,Karnataka,Home & Kitchen,Table,4,6845,27380,6996.19,Net Banking,Returned,Randy
ORD00048,18-01-2026,CUST0197,Kristie Diaz,West,Tamil Nadu,Fashion,Shoes,1,15122,15122,1624.11,Cash on Delivery,Returned,Jared
ORD00049,05-04-2026,CUST2469,Corey Arnold,East,Karnataka,Fashion,Shirt,2,43751,87502,22911.31,Net Banking,Delivered,Rebecca
ORD00050,02-11-2025,CUST2966,Brianna Thornton,East,Tamil Nadu,Electronics,Smart Watch,4,33722,134888,39993.21,UPI,Shipped,Paul
ORD00051,25-02-2025,CUST0574,George Garcia,East,Tamil Nadu,Home & Kitchen,Mixer,1,1453,1453,190.28,Cash on Delivery,Returned,Dustin
